relpath,filename,label,drug,concentration,setting,control,filtered,split
ONS76_C7_0.037uM/E07_T000_Z000_Cell0083.png,E07_T000_Z000_Cell0083.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,train
ONS76_C7_0.037uM/E07_T000_Z000_Cell0118.png,E07_T000_Z000_Cell0118.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,train
ONS76_C7_0.037uM/E07_T000_Z000_Cell0138.png,E07_T000_Z000_Cell0138.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,train
ONS76_C7_0.037uM/E07_T000_Z000_Cell0141.png,E07_T000_Z000_Cell0141.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,train
ONS76_C7_0.037uM/E07_T000_Z000_Cell0219.png,E07_T000_Z000_Cell0219.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,train
ONS76_C7_0.037uM/E07_T000_Z000_Cell0331.png,E07_T000_Z000_Cell0331.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,train
ONS76_C7_0.037uM/E07_T000_Z000_Cell0426.png,E07_T000_Z000_Cell0426.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,val
ONS76_C7_0.037uM/E07_T000_Z000_Cell0617.png,E07_T000_Z000_Cell0617.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,train
ONS76_C7_0.037uM/E07_T000_Z000_Cell0619.png,E07_T000_Z000_Cell0619.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,test
ONS76_C7_0.037uM/E07_T000_Z000_Cell0621.png,E07_T000_Z000_Cell0621.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,train
ONS76_C7_0.037uM/E07_T000_Z000_Cell0663.png,E07_T000_Z000_Cell0663.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,train
ONS76_C7_0.037uM/E07_T000_Z000_Cell0752.png,E07_T000_Z000_Cell0752.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,train
ONS76_C7_0.037uM/E07_T000_Z000_Cell0976.png,E07_T000_Z000_Cell0976.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,train
ONS76_C7_0.037uM/E08_T000_Z000_Cell0127.png,E08_T000_Z000_Cell0127.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,train
ONS76_C7_0.037uM/E08_T000_Z000_Cell0206.png,E08_T000_Z000_Cell0206.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,train
ONS76_C7_0.037uM/E08_T000_Z000_Cell0226.png,E08_T000_Z000_Cell0226.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,test
ONS76_C7_0.037uM/E08_T000_Z000_Cell0343.png,E08_T000_Z000_Cell0343.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,train
ONS76_C7_0.037uM/E08_T000_Z000_Cell0482.png,E08_T000_Z000_Cell0482.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,train
ONS76_C7_0.037uM/E08_T000_Z000_Cell0494.png,E08_T000_Z000_Cell0494.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,test
ONS76_C7_0.037uM/E08_T000_Z000_Cell0513.png,E08_T000_Z000_Cell0513.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,test
ONS76_C7_0.037uM/E08_T000_Z000_Cell0578.png,E08_T000_Z000_Cell0578.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,val
ONS76_C7_0.037uM/E08_T000_Z000_Cell0713.png,E08_T000_Z000_Cell0713.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,val
ONS76_C7_0.037uM/E08_T000_Z000_Cell0728.png,E08_T000_Z000_Cell0728.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,train
ONS76_C7_0.037uM/E08_T000_Z000_Cell0761.png,E08_T000_Z000_Cell0761.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,val
ONS76_C7_0.037uM/E08_T000_Z000_Cell0786.png,E08_T000_Z000_Cell0786.png,ONS76,C7,0.037,ONS76_C7_0.037uM,False,True,train
ONS76_C7_0.11uM/D07_T000_Z000_Cell0001.png,D07_T000_Z000_Cell0001.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,train
ONS76_C7_0.11uM/D07_T000_Z000_Cell0080.png,D07_T000_Z000_Cell0080.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,test
ONS76_C7_0.11uM/D07_T000_Z000_Cell0157.png,D07_T000_Z000_Cell0157.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,val
ONS76_C7_0.11uM/D07_T000_Z000_Cell0158.png,D07_T000_Z000_Cell0158.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,train
ONS76_C7_0.11uM/D07_T000_Z000_Cell0240.png,D07_T000_Z000_Cell0240.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,train
ONS76_C7_0.11uM/D07_T000_Z000_Cell0487.png,D07_T000_Z000_Cell0487.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,train
ONS76_C7_0.11uM/D07_T000_Z000_Cell0551.png,D07_T000_Z000_Cell0551.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,train
ONS76_C7_0.11uM/D07_T000_Z000_Cell0613.png,D07_T000_Z000_Cell0613.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,train
ONS76_C7_0.11uM/D07_T000_Z000_Cell0698.png,D07_T000_Z000_Cell0698.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,train
ONS76_C7_0.11uM/D07_T000_Z000_Cell0732.png,D07_T000_Z000_Cell0732.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,val
ONS76_C7_0.11uM/D07_T000_Z000_Cell0737.png,D07_T000_Z000_Cell0737.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,train
ONS76_C7_0.11uM/D07_T000_Z000_Cell0794.png,D07_T000_Z000_Cell0794.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,val
ONS76_C7_0.11uM/D07_T000_Z000_Cell0798.png,D07_T000_Z000_Cell0798.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,train
ONS76_C7_0.11uM/D07_T000_Z000_Cell0888.png,D07_T000_Z000_Cell0888.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,train
ONS76_C7_0.11uM/D08_T000_Z000_Cell0069.png,D08_T000_Z000_Cell0069.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,test
ONS76_C7_0.11uM/D08_T000_Z000_Cell0182.png,D08_T000_Z000_Cell0182.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,train
ONS76_C7_0.11uM/D08_T000_Z000_Cell0340.png,D08_T000_Z000_Cell0340.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,train
ONS76_C7_0.11uM/D08_T000_Z000_Cell0383.png,D08_T000_Z000_Cell0383.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,train
ONS76_C7_0.11uM/D08_T000_Z000_Cell0393.png,D08_T000_Z000_Cell0393.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,train
ONS76_C7_0.11uM/D08_T000_Z000_Cell0403.png,D08_T000_Z000_Cell0403.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,train
ONS76_C7_0.11uM/D08_T000_Z000_Cell0486.png,D08_T000_Z000_Cell0486.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,test
ONS76_C7_0.11uM/D08_T000_Z000_Cell0540.png,D08_T000_Z000_Cell0540.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,train
ONS76_C7_0.11uM/D08_T000_Z000_Cell0604.png,D08_T000_Z000_Cell0604.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,train
ONS76_C7_0.11uM/D08_T000_Z000_Cell0618.png,D08_T000_Z000_Cell0618.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,val
ONS76_C7_0.11uM/D08_T000_Z000_Cell0648.png,D08_T000_Z000_Cell0648.png,ONS76,C7,0.11,ONS76_C7_0.11uM,False,True,test
ONS76_C7_0.33uM/C07_T000_Z000_Cell0063.png,C07_T000_Z000_Cell0063.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,test
ONS76_C7_0.33uM/C07_T000_Z000_Cell0075.png,C07_T000_Z000_Cell0075.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,train
ONS76_C7_0.33uM/C07_T000_Z000_Cell0091.png,C07_T000_Z000_Cell0091.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,train
ONS76_C7_0.33uM/C07_T000_Z000_Cell0298.png,C07_T000_Z000_Cell0298.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,train
ONS76_C7_0.33uM/C07_T000_Z000_Cell0340.png,C07_T000_Z000_Cell0340.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,train
ONS76_C7_0.33uM/C07_T000_Z000_Cell0377.png,C07_T000_Z000_Cell0377.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,train
ONS76_C7_0.33uM/C07_T000_Z000_Cell0389.png,C07_T000_Z000_Cell0389.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,train
ONS76_C7_0.33uM/C07_T000_Z000_Cell0426.png,C07_T000_Z000_Cell0426.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,train
ONS76_C7_0.33uM/C07_T000_Z000_Cell0593.png,C07_T000_Z000_Cell0593.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,val
ONS76_C7_0.33uM/C07_T000_Z000_Cell0719.png,C07_T000_Z000_Cell0719.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,train
ONS76_C7_0.33uM/C08_T000_Z000_Cell0145.png,C08_T000_Z000_Cell0145.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,test
ONS76_C7_0.33uM/C08_T000_Z000_Cell0148.png,C08_T000_Z000_Cell0148.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,train
ONS76_C7_0.33uM/C08_T000_Z000_Cell0307.png,C08_T000_Z000_Cell0307.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,train
ONS76_C7_0.33uM/C08_T000_Z000_Cell0367.png,C08_T000_Z000_Cell0367.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,train
ONS76_C7_0.33uM/C08_T000_Z000_Cell0418.png,C08_T000_Z000_Cell0418.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,train
ONS76_C7_0.33uM/C08_T000_Z000_Cell0457.png,C08_T000_Z000_Cell0457.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,train
ONS76_C7_0.33uM/C08_T000_Z000_Cell0479.png,C08_T000_Z000_Cell0479.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,val
ONS76_C7_0.33uM/C08_T000_Z000_Cell0506.png,C08_T000_Z000_Cell0506.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,test
ONS76_C7_0.33uM/C08_T000_Z000_Cell0531.png,C08_T000_Z000_Cell0531.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,train
ONS76_C7_0.33uM/C08_T000_Z000_Cell0536.png,C08_T000_Z000_Cell0536.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,test
ONS76_C7_0.33uM/C08_T000_Z000_Cell0544.png,C08_T000_Z000_Cell0544.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,val
ONS76_C7_0.33uM/C08_T000_Z000_Cell0552.png,C08_T000_Z000_Cell0552.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,val
ONS76_C7_0.33uM/C08_T000_Z000_Cell0558.png,C08_T000_Z000_Cell0558.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,train
ONS76_C7_0.33uM/C08_T000_Z000_Cell0734.png,C08_T000_Z000_Cell0734.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,train
ONS76_C7_0.33uM/C08_T000_Z000_Cell0804.png,C08_T000_Z000_Cell0804.png,ONS76,C7,0.33,ONS76_C7_0.33uM,False,True,train
ONS76_C7_1uM/B07_T000_Z000_Cell0099.png,B07_T000_Z000_Cell0099.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,train
ONS76_C7_1uM/B07_T000_Z000_Cell0114.png,B07_T000_Z000_Cell0114.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,train
ONS76_C7_1uM/B07_T000_Z000_Cell0136.png,B07_T000_Z000_Cell0136.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,val
ONS76_C7_1uM/B07_T000_Z000_Cell0172.png,B07_T000_Z000_Cell0172.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,test
ONS76_C7_1uM/B07_T000_Z000_Cell0400.png,B07_T000_Z000_Cell0400.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,val
ONS76_C7_1uM/B07_T000_Z000_Cell0456.png,B07_T000_Z000_Cell0456.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,test
ONS76_C7_1uM/B07_T000_Z000_Cell0482.png,B07_T000_Z000_Cell0482.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,train
ONS76_C7_1uM/B07_T000_Z000_Cell0559.png,B07_T000_Z000_Cell0559.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,train
ONS76_C7_1uM/B07_T000_Z000_Cell0591.png,B07_T000_Z000_Cell0591.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,train
ONS76_C7_1uM/B07_T000_Z000_Cell0723.png,B07_T000_Z000_Cell0723.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,val
ONS76_C7_1uM/B07_T000_Z000_Cell0786.png,B07_T000_Z000_Cell0786.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,train
ONS76_C7_1uM/B07_T000_Z000_Cell0824.png,B07_T000_Z000_Cell0824.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,train
ONS76_C7_1uM/B07_T000_Z000_Cell0884.png,B07_T000_Z000_Cell0884.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,test
ONS76_C7_1uM/B07_T000_Z000_Cell0967.png,B07_T000_Z000_Cell0967.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,train
ONS76_C7_1uM/B07_T000_Z000_Cell1053.png,B07_T000_Z000_Cell1053.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,train
ONS76_C7_1uM/B08_T000_Z000_Cell0073.png,B08_T000_Z000_Cell0073.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,test
ONS76_C7_1uM/B08_T000_Z000_Cell0174.png,B08_T000_Z000_Cell0174.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,train
ONS76_C7_1uM/B08_T000_Z000_Cell0315.png,B08_T000_Z000_Cell0315.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,train
ONS76_C7_1uM/B08_T000_Z000_Cell0438.png,B08_T000_Z000_Cell0438.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,train
ONS76_C7_1uM/B08_T000_Z000_Cell0480.png,B08_T000_Z000_Cell0480.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,val
ONS76_C7_1uM/B08_T000_Z000_Cell0492.png,B08_T000_Z000_Cell0492.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,train
ONS76_C7_1uM/B08_T000_Z000_Cell0506.png,B08_T000_Z000_Cell0506.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,train
ONS76_C7_1uM/B08_T000_Z000_Cell0585.png,B08_T000_Z000_Cell0585.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,train
ONS76_C7_1uM/B08_T000_Z000_Cell0709.png,B08_T000_Z000_Cell0709.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,train
ONS76_C7_1uM/B08_T000_Z000_Cell0819.png,B08_T000_Z000_Cell0819.png,ONS76,C7,1.0,ONS76_C7_1uM,False,True,train
ONS76_C7_3uM/A07_T000_Z000_Cell0000.png,A07_T000_Z000_Cell0000.png,ONS76,C7,3.0,ONS76_C7_3uM,False,True,val
ONS76_C7_3uM/A07_T000_Z000_Cell0063.png,A07_T000_Z000_Cell0063.png,ONS76,C7,3.0,ONS76_C7_3uM,False,True,train
ONS76_C7_3uM/A07_T000_Z000_Cell0245.png,A07_T000_Z000_Cell0245.png,ONS76,C7,3.0,ONS76_C7_3uM,False,True,test
ONS76_C7_3uM/A07_T000_Z000_Cell0303.png,A07_T000_Z000_Cell0303.png,ONS76,C7,3.0,ONS76_C7_3uM,False,True,train
ONS76_C7_3uM/A07_T000_Z000_Cell0327.png,A07_T000_Z000_Cell0327.png,ONS76,C7,3.0,ONS76_C7_3uM,False,True,train
ONS76_C7_3uM/A07_T000_Z000_Cell0359.png,A07_T000_Z000_Cell0359.png,ONS76,C7,3.0,ONS76_C7_3uM,False,True,val
ONS76_C7_3uM/A07_T000_Z000_Cell0408.png,A07_T000_Z000_Cell0408.png,ONS76,C7,3.0,ONS76_C7_3uM,False,True,train
ONS76_C7_3uM/A07_T000_Z000_Cell0421.png,A07_T000_Z000_Cell0421.png,ONS76,C7,3.0,ONS76_C7_3uM,False,True,train
ONS76_C7_3uM/A07_T000_Z000_Cell0425.png,A07_T000_Z000_Cell0425.png,ONS76,C7,3.0,ONS76_C7_3uM,False,True,test
